,Ask_rate,Accuracy,
596,57.41728922,93.37,1.626165242
597,54.21558164,93.73,1.72883878
598,56.45677695,92.01,1.629742344
599,41.19530416,91.99,2.233021503
600,32.01707577,58.39,1.823714333
601,28.38847385,9.73,0.342744737
602,41.62219851,91.77,2.204833077
603,56.56350053,93.22,1.648059245
604,53.36179296,91.17,1.7085258
605,58.69797225,92.46,1.575182182
606,57.73745998,92.58,1.603465065
607,51.01387407,94,1.842635983
608,50.48025614,93.76,1.857359831
609,57.41728922,93.33,1.625468587
610,57.31056564,92.82,1.619596648
611,53.68196371,91.72,1.708581312
612,25.18676628,79.04,3.138155932
613,57.09711846,91.49,1.60235757
614,29.88260406,74.44,2.491081429
615,53.36179296,93.58,1.7536892
616,53.7886873,93.46,1.737540079
617,58.27107791,90.44,1.55205641
618,60.83244397,92.28,1.516953684
619,62.64674493,92.39,1.474777342
620,53.46851654,92.43,1.728680838
621,28.49519744,89.78,3.150706367
622,54.85592316,92.49,1.686053113
623,31.0565635,88.57,2.851893127
624,28.70864461,79.03,2.752829368
625,22.62540021,74.13,3.276406132
626,54.32230523,93.55,1.722128684
627,29.45570971,90.6,3.075804348
628,38.95410886,89.65,2.301426027
629,42.90288154,91.12,2.123866667
630,62.00640342,92.37,1.489684854
631,29.5624333,72.21,2.442627076
632,36.07257204,91.58,2.538771006
633,28.60192102,75.86,2.652269403
634,46.85165422,93.03,1.985628929
635,30.41622199,84.59,2.781081754
636,17.71611526,80.38,4.537112048
637,38.74066169,89.91,2.320817355
638,53.89541089,91.68,1.701072475
639,30.62966916,74.95,2.446973868
640,53.0416222,92.68,1.747307042
641,56.88367129,92.45,1.625246717
642,41.30202775,91.97,2.226767183
643,54.85592316,92.76,1.690975097
644,45.57097118,91.61,2.01027096
645,54.21558164,92.43,1.704860433
646,57.41728922,89.74,1.562943866
647,52.72145144,92.78,1.75981498
648,53.89541089,91.95,1.706082178
649,24.33297759,81.17,3.335802193
650,30.84311633,89.9,2.914750865
651,55.17609392,92.05,1.668294971
652,29.77588047,86.76,2.913767742
653,55.06937033,92.34,1.676794186
654,54.32230523,93.45,1.720287819
655,61.25933831,91.42,1.492343902
656,48.87940235,91.14,1.864589083
657,37.03308431,89.88,2.42701902
658,56.24332978,90.23,1.604279127
